bmrb_id,pdb_id
3322,1e8p
4023,1spz
4052,1joo
4053,1joo
4088,1alp
4089,2def
4090,2ezh
4114,1a5j
4120,1a60
4129,1q80
4141,1nk2
4147,1h95
4153,1rxr
4155,1eot
4156,1bjx
4157,1lfc
4172,1bn9
4173,1bm6
4175,1bn0
4176,1bjd
4177,1bo0
4181,1pfd
4182,1bfy
4184,1eh2
4186,1blr
4187,1skp
4188,1bci
4189,1giw
4190,1big
4191,2bmt
4192,1bde
4194,1bh1
4195,2btx
4197,2cps
4198,1br0
4199,3nla
4200,1a93
4201,1a3p
4202,1ba9
4204,1bqt
4205,1bqv
4206,1mfn
4207,2orc
4208,2dvh
4209,2cpb
4210,1ba5
4211,1bbg
4212,1bcv
4213,1bfw
4214,2tmp
4215,1ssn
4216,1bhi
4217,1bhu
4218,1cn2
4219,1bku
4220,1bmx
4221,1bm4
4222,1mnl
4223,1tba
4224,1myo
4225,3grx
4226,1ldz
4227,1bqz
4228,1bq0
4229,1bqx
4230,1buq
4231,1bwe
4232,1zac
4235,1bwt
4241,2xbd
4242,3msp
4243,1c11
4244,1bx5
4246,1bxj
4248,2lef
4249,1xpa
4250,3php
4254,1l3g
4255,2if1
4257,1vpc
4260,1byv
4261,1bzb
4262,1bzf
4263,2nmb
4264,3eza
4265,1ds9
4268,1bd6
4269,1ght
4271,1jfj
4276,1b2i
4281,1z0r
4285,1k2h
4292,1b1v
4299,2f63
4300,2f65
4310,1l2v
4312,1jm4
4313,1m4o
4334,1kqq
4342,1ly7
4347,1qp6
4351,1qgm
4361,1cqb
4362,1cqb
4372,1c32
4373,1fho
4385,1d5k
4386,1ezy
4387,8tfv
4391,1jgk
4392,1b0s
4394,2ife
4395,1b75
4396,1cou
4397,1b2t
4398,1qfa
4399,1cnl
4400,1b4y
4401,1blq
4405,1khm
4406,1qfb
4407,1cmz
4409,1qkg
4412,1ql5
4413,1cok
4414,1b3i
4415,1ttd
4416,1coc
4417,1b6f
4418,1ccq
4419,1cb9
4420,1im1
4422,1ccv
4424,1qhk
4425,3bdo
4426,2bdo
4427,1qky
